id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,class
640,17.339440,-11.255542,-4.438722,17.131290,-7.946035,18.602577,-18.279287,1.889145,-1.666990,-4.227262,0.447583,-18.941912,14.383926,-20.825356,16.133874,9.796517,-9.300036,15.043443,-27.440351,-11.400342,A,D,A,B,A,A,A,G
642,14.848968,-11.204762,-2.340017,17.476444,-7.771293,18.756515,-18.291015,-1.348476,-1.169282,-2.554484,0.227269,-18.449121,13.842303,-21.558758,16.790689,9.738457,-9.182840,15.327040,25.569297,-5.902391,B,A,C,A,A,D,G,G
644,14.594462,-9.164394,-2.537630,17.496686,-7.763228,18.651486,-20.016121,-1.190319,-2.035136,-3.860972,-0.139775,-16.979958,13.203285,-19.958836,16.293581,9.735052,-9.262796,15.105535,11.638073,-9.779055,A,E,C,B,B,D,A,D
646,22.491126,-9.111805,-1.378081,17.367516,-7.884645,18.661614,-17.989267,-2.919874,-8.963728,-3.659721,0.009731,-13.156782,17.286847,-9.710145,6.703194,9.756779,-9.255085,15.139653,-3.598991,-12.346606,D,C,A,A,C,A,B,F
648,15.092816,-8.751716,-2.191348,17.488968,-7.766560,18.746138,-18.291117,-1.583834,-1.213068,-2.788068,-0.201450,-18.497346,13.905522,-21.145438,16.733204,9.736350,-9.190739,15.287435,-16.767722,-10.315479,B,D,B,C,D,B,G,G
650,24.004599,-11.464641,-3.560028,17.257823,-7.900848,18.749777,-18.803980,0.521288,-8.929148,-2.530347,0.430466,-14.398162,18.397967,-10.374473,7.191116,9.775231,-9.187968,15.331133,17.058896,-11.449506,B,C,A,C,B,D,G,G
652,20.820937,-9.269612,-5.975863,17.411324,-7.846126,18.612762,-20.115373,3.955353,-9.327644,-4.099055,-0.015575,-11.483859,16.238024,-9.230032,7.571000,9.749410,-9.292281,15.065175,-15.595891,-12.865203,A,C,B,C,D,D,F,G
654,16.948919,-10.949713,-3.889593,17.253852,-8.210639,18.608121,-17.965638,1.033830,-2.012504,-4.086741,0.727335,-18.218397,14.204507,-20.260808,15.583124,9.775899,-9.295815,15.067263,37.605250,-12.399736,C,C,A,C,B,D,B,F
656,14.508710,-11.034520,-2.339098,17.384747,-8.012430,18.645256,-19.630048,-1.478835,-2.408251,-3.737764,0.490733,-16.362279,13.132069,-19.686326,15.660085,9.753881,-9.267539,15.126422,3.916185,-8.211245,C,A,A,C,D,E,G,G
658,12.835124,-8.884340,-5.976732,17.393720,-7.769396,18.673909,-20.110237,4.023192,-1.595010,-3.457256,-0.176804,-16.849863,12.458618,-20.585164,16.892452,9.752371,-9.245724,15.173978,-29.485138,-9.445365,B,D,B,A,C,D,A,G
660,21.101588,-11.384819,-1.229877,17.554281,-7.829791,18.773417,-20.482005,-3.393098,-9.459346,-2.326682,0.330481,-11.578588,17.001500,-9.628351,7.686933,9.725365,-9.169975,15.365665,-53.778564,-10.958177,B,E,B,C,D,C,A,G
662,14.464713,-8.933373,-3.693892,17.374977,-7.978762,18.658182,-19.989356,0.515936,-1.996381,-3.664552,0.107017,-16.976654,13.170622,-19.986113,16.331774,9.755524,-9.257698,15.138834,-17.692972,-6.032594,A,G,C,B,A,D,D,F
664,14.814605,-10.869778,-2.193544,17.332707,-8.142536,18.627449,-19.439297,-1.777541,-2.645027,-3.901438,0.626966,-16.153583,13.203379,-19.306787,15.280994,9.762634,-9.281097,15.098675,-7.536053,-9.424695,B,A,A,A,D,D,G,G
666,16.419412,-11.463347,-3.402078,17.314538,-7.652067,18.640566,-18.339613,0.317108,-1.478457,-3.913938,0.136981,-18.746741,14.067713,-21.140220,16.400051,9.765691,-9.271110,15.096556,-3.439181,-6.613703,A,F,A,B,C,C,D,F
668,16.200598,-9.223997,-6.223784,17.181022,-8.292843,18.545491,-19.911132,4.541857,-2.306972,-4.795807,0.573173,-17.381729,13.576854,-19.558116,15.904415,9.788150,-9.343508,14.947077,-21.879047,-12.430820,C,F,C,B,A,E,D,G
670,20.305264,-9.325522,-4.867329,17.490513,-7.712152,18.614660,-19.941769,2.223481,-9.280357,-4.144930,-0.178527,-11.125687,15.973491,-9.310900,7.504478,9.736091,-9.290836,15.057399,-46.737152,-13.020571,B,G,B,A,C,B,A,G
672,14.206460,-9.213883,-3.149579,17.384976,-7.558655,18.644809,-20.072395,-0.361067,-1.924651,-3.962096,-0.390632,-16.963438,12.980797,-20.131913,16.457410,9.753842,-9.267880,15.088392,-14.905392,-5.316992,A,B,C,A,B,D,A,D
674,15.797568,-11.532371,-4.700912,17.453083,-7.680513,18.627949,-18.279819,2.293001,-1.436132,-4.015033,0.183150,-18.497537,13.699516,-21.214640,16.436846,9.742386,-9.280717,15.079419,16.247199,-5.508938,B,B,C,B,D,D,A,G
676,21.591559,-9.549261,-4.776524,17.561403,-7.507494,18.592298,-18.133815,2.291795,-8.703334,-4.491547,-0.393976,-12.706386,16.576958,-10.185735,7.095058,9.724167,-9.307864,14.998646,-22.197030,-8.280971,B,C,C,C,C,D,B,F
678,21.371932,-11.083918,-5.294832,17.220229,-8.310184,18.560878,-19.506402,3.032410,-9.522510,-4.459902,0.877456,-11.733837,16.359884,-9.452885,6.944849,9.781555,-9.331790,15.004010,-6.701710,-12.638791,A,D,A,B,B,D,D,F
680,13.661092,-10.979090,-3.692877,17.303936,-8.125367,18.716926,-19.981655,0.647804,-1.858429,-2.820776,0.623359,-16.808927,13.073376,-20.495075,16.504222,9.767474,-9.212975,15.281890,10.297431,-5.713287,C,D,B,B,A,E,A,F
682,23.816394,-8.936701,-3.661484,17.361136,-8.117998,18.693948,-18.464718,0.604040,-8.991923,-3.199775,0.294720,-14.188712,18.096723,-9.628951,6.924209,9.757852,-9.230468,15.217631,-2.957953,-10.999253,A,C,C,B,A,D,B,G
684,23.704332,-11.555265,-7.032745,17.038117,-7.936782,18.619755,-18.538550,5.850479,-8.887653,-3.873323,0.490395,-14.195827,17.789326,-10.457441,7.089711,9.812191,-9.286956,15.103441,16.313830,-8.143875,A,C,A,A,C,E,D,G
686,13.756663,-8.941146,-2.661041,17.391521,-7.620707,18.722937,-20.360402,-0.987488,-1.537514,-3.070276,-0.359065,-17.358854,13.149940,-20.679271,17.069535,9.752741,-9.208400,15.239587,-74.038716,-10.333779,A,C,A,A,D,D,A,G
688,23.367611,-11.391227,-5.368517,17.109642,-7.972798,18.622398,-18.313667,3.315074,-8.935863,-3.876639,0.504595,-13.881155,17.618470,-10.344205,6.908522,9.800158,-9.284944,15.102879,-13.126862,-11.063119,A,E,B,B,C,C,A,F
690,14.345289,-10.866674,-2.967677,17.288862,-8.218001,18.706371,-19.932228,-0.572482,-2.020702,-2.951132,0.723237,-16.880957,13.346401,-20.235064,16.277279,9.770010,-9.221010,15.259788,-8.627516,-10.098590,B,D,B,A,C,D,C,G
692,16.752152,-9.317775,-6.966967,16.960371,-8.005505,18.516331,-17.903903,5.776537,-2.097249,-5.141620,0.200800,-17.987253,13.761703,-19.886558,15.452972,9.825270,-9.365715,14.888473,58.301410,-10.721085,A,F,C,B,D,D,D,G
694,17.080796,-9.020510,-4.714135,17.080848,-8.041735,18.622873,-18.253961,2.305998,-1.595975,-4.023147,0.204209,-18.911707,14.331208,-20.601376,16.219051,9.805002,-9.284582,15.078043,13.206080,-6.796329,B,F,A,C,D,D,D,G
696,23.136645,-11.228347,-3.544080,17.199262,-7.996993,18.642992,-18.168121,0.421555,-8.980231,-3.689101,0.505437,-13.654803,17.563483,-10.236814,6.776922,9.785082,-9.269263,15.134672,-23.211519,-12.822984,C,G,C,B,D,E,A,F
698,15.268288,-11.486215,-2.815027,17.406616,-7.517798,18.701207,-18.360221,-0.611051,-1.234802,-3.259455,-0.010476,-18.548230,13.768871,-21.506586,16.726079,9.750202,-9.224941,15.207513,-41.256100,-12.146165,B,G,A,C,D,D,F,G
700,12.965398,-11.326777,-3.062750,17.484550,-7.727915,18.723585,-20.076274,-0.342060,-1.704325,-2.897148,0.198902,-16.733816,12.781399,-20.781591,16.739302,9.737093,-9.207906,15.268941,26.200728,-11.219441,A,F,B,B,A,D,D,G
702,21.383425,-11.572376,-4.586055,17.489155,-7.695001,18.705375,-18.325963,2.047468,-8.718715,-3.027953,0.207624,-12.529124,16.870645,-10.694271,7.177008,9.736319,-9.221768,15.246763,-24.041033,-11.771187,A,A,C,A,B,D,G,G
704,14.068725,-8.748788,-5.288552,17.058052,-8.050107,18.664129,-20.000259,2.996519,-1.880692,-3.475158,0.175798,-16.966237,13.004963,-20.136481,16.483504,9.808837,-9.253170,15.170942,32.383623,-10.962237,A,B,B,C,D,D,A,G
706,22.420128,-10.860368,-6.224239,17.061491,-8.655490,18.567181,-19.677629,4.446815,-9.669992,-4.257066,1.299201,-12.441149,16.939980,-9.186109,6.896172,9.808259,-9.326990,15.038391,42.800951,-8.947248,D,G,B,C,A,E,A,F
708,21.110339,-11.427484,-3.834997,17.256601,-7.862307,18.675731,-20.202363,0.770461,-9.425514,-3.321659,0.377291,-11.617963,16.616353,-9.686993,7.524993,9.775437,-9.244336,15.196967,15.290636,-9.548074,B,C,A,A,A,D,B,G
710,12.054732,-8.755158,-4.099028,17.333406,-7.562876,18.741378,-20.144734,1.245429,-1.468105,-2.778012,-0.463688,-16.714354,12.460605,-20.760385,17.068242,9.762517,-9.194362,15.289140,15.905510,-9.505303,B,C,B,A,B,D,F,G
712,17.257223,-10.839315,-4.831235,16.942678,-8.339496,18.644294,-18.178299,2.599528,-1.656785,-3.579538,0.876558,-18.913572,14.508776,-20.773301,16.115709,9.828247,-9.268272,15.153246,38.050744,-11.334157,C,G,C,C,A,E,A,G
714,14.212432,-11.506138,-6.524647,17.387254,-7.704062,18.695335,-18.360365,5.149326,-0.920536,-3.132487,0.205324,-18.543581,13.227361,-21.977984,17.138763,9.753459,-9.229412,15.229040,15.155050,-10.290497,A,A,C,C,E,C,G,G
716,13.803033,-11.501362,-3.647688,17.492506,-7.707987,18.723201,-20.526283,0.439308,-1.364315,-2.938640,0.208961,-17.653819,13.173279,-21.316320,17.359299,9.735755,-9.208198,15.261906,-24.441217,-5.156226,A,B,B,A,A,D,D,G
718,24.362997,-9.190706,-3.922912,17.276107,-8.289288,18.603141,-18.182854,1.080890,-9.111371,-4.171188,0.563652,-14.521131,18.089956,-9.518112,6.626600,9.772155,-9.299607,15.052948,-27.763338,-6.096743,B,F,C,B,C,D,G,E
720,19.255862,-8.773457,-3.127710,17.377838,-7.687835,18.745389,-20.077977,-0.492661,-9.265620,-2.661745,-0.300464,-10.325935,15.949478,-9.198875,7.613229,9.755043,-9.191309,15.308854,-21.445696,-11.935890,A,C,A,B,D,D,B,G
722,23.604539,-10.994203,-4.966110,17.186223,-8.416681,18.646298,-18.156268,2.722235,-9.075846,-3.489581,1.001953,-13.940694,17.822283,-10.038957,6.655124,9.787275,-9.266746,15.168497,22.674776,-10.431069,C,B,A,B,D,E,A,F
724,21.696574,-11.553090,-1.778527,17.617983,-7.574262,18.728875,-18.323980,-2.319043,-8.771923,-2.905874,0.066146,-12.719464,17.123758,-10.615629,7.111660,9.714651,-9.203879,15.267461,16.369338,-10.676514,B,F,B,B,D,D,D,F
726,13.684494,-9.054900,-3.914872,17.497638,-7.177861,18.729360,-18.451624,1.034884,-0.828420,-3.095003,-0.877077,-18.451638,13.149480,-21.764646,17.287849,9.734892,-9.203510,15.235395,30.378292,-5.278343,D,F,C,B,A,A,D,A
728,21.530116,-11.472381,-7.053496,17.271584,-8.111109,18.599679,-20.170831,5.674900,-9.435603,-4.043627,0.689674,-11.942246,16.568569,-9.686857,7.492025,9.772916,-9.302243,15.074571,29.464331,-9.215770,B,D,B,B,B,D,A,G
730,21.336110,-9.097364,-3.395596,17.394900,-8.051481,18.647167,-19.947307,0.067837,-9.479230,-3.714837,0.228659,-11.746229,16.629612,-8.972526,7.289718,9.752173,-9.266085,15.130309,44.719645,-12.783246,A,E,C,C,B,D,A,G
732,23.765899,-9.211047,-6.666070,16.901184,-8.284351,18.551364,-18.039518,5.334419,-9.048639,-4.613520,0.559770,-14.095699,17.617494,-9.612409,6.626132,9.835228,-9.339035,14.977972,-4.888222,-9.888755,C,D,C,C,A,E,B,E
734,17.920824,-10.778595,-5.595782,17.067331,-8.571346,18.606888,-18.143010,3.707425,-1.798074,-3.952051,1.174184,-19.059722,14.701186,-20.552834,15.919296,9.807276,-9.296753,15.090095,-33.455219,-6.677618,C,A,B,A,E,B,D,G
736,16.914565,-10.944125,-5.675282,16.929038,-8.260938,18.637514,-18.206919,3.901314,-1.556175,-3.647662,0.791202,-18.884621,14.306230,-20.940068,16.256657,9.830542,-9.273434,15.141697,-9.827240,-5.280171,D,A,B,B,C,A,G,F
738,22.222427,-8.675302,-2.753944,17.186757,-8.598532,18.673909,-19.797920,-0.909016,-9.713349,-3.237050,0.926096,-12.241688,17.189650,-8.536606,6.931125,9.787186,-9.245724,15.211312,27.777822,-12.681393,C,G,B,B,E,B,A,G
740,18.381963,-8.754624,-4.050651,16.901048,-8.550371,18.622056,-18.118900,1.288773,-1.923185,-3.888068,0.867977,-19.129145,14.997934,-20.073099,15.747599,9.835251,-9.285204,15.100942,-13.474731,-8.879808,C,D,C,B,E,D,A,F
742,23.547147,-9.017315,-2.737049,17.368795,-8.138438,18.661993,-18.199649,-0.843682,-9.035587,-3.570328,0.333982,-13.931825,17.844516,-9.585173,6.726947,9.756564,-9.254796,15.154808,17.494766,-5.895845,C,B,C,C,D,E,A,G
744,15.535428,-8.932847,-1.062724,17.624847,-7.535697,18.759736,-18.549346,-3.341868,-0.985825,-2.782836,-0.467863,-19.064194,14.186429,-21.511483,17.112036,9.713496,-9.180388,15.288322,12.801811,-10.937796,B,E,C,C,C,A,A,F
746,14.816420,-11.249761,-3.597131,17.387483,-7.947402,18.637332,-19.985338,0.386959,-2.078718,-3.838702,0.448225,-17.021973,13.248592,-20.212182,16.225392,9.753421,-9.273573,15.109311,-4.470920,-13.134353,A,D,A,A,C,D,A,G
748,21.074571,-9.002388,-6.293032,17.241507,-8.226442,18.623775,-19.960252,4.573853,-9.451694,-3.818926,0.451475,-11.564464,16.409750,-8.988246,7.328734,9.777976,-9.283895,15.112663,5.809958,-5.301772,C,E,B,B,A,E,F,G
750,14.368492,-11.138934,-2.984058,17.393497,-7.948319,18.632536,-19.661480,-0.479540,-2.353841,-3.884439,0.429632,-16.376717,13.004170,-19.784819,15.742234,9.752409,-9.277225,15.101557,22.467972,-5.933107,A,C,A,C,D,D,F,G
752,15.615703,-11.692240,-4.096940,17.535759,-7.543465,18.705986,-18.666887,1.394295,-0.814039,-3.205445,0.059670,-19.369979,13.961699,-22.166826,17.374516,9.728480,-9.221303,15.216670,-12.970387,-5.310990,B,A,C,C,C,D,G,G
754,15.235609,-11.286368,-5.181625,17.095109,-7.954771,18.592461,-19.987803,2.937003,-2.122277,-4.276661,0.463787,-17.164495,13.264889,-20.153682,16.171046,9.802603,-9.307739,15.035069,-2.148304,-9.652707,D,A,A,C,A,A,B,G
756,16.426497,-9.089511,-5.905873,17.125996,-8.447021,18.557081,-19.867772,4.053776,-2.372184,-4.615588,0.766837,-17.403587,13.737555,-19.441336,15.803494,9.797407,-9.334682,14.977622,-0.999839,-12.530463,D,A,C,C,B,A,D,F
758,24.245512,-11.447885,-6.894583,17.239341,-8.173902,18.532676,-18.253116,5.619861,-9.009787,-4.851158,0.764040,-14.518212,17.825608,-10.259151,6.786826,9.778340,-9.353268,14.937697,-2.329265,-7.228703,B,C,B,A,A,D,D,G
760,14.750154,-8.721341,-2.757074,17.355348,-8.106148,18.718668,-20.272629,-0.823842,-1.734655,-2.976572,0.247939,-17.521235,13.602797,-20.353454,16.782483,9.758826,-9.211649,15.255474,-9.833648,-11.956925,A,F,C,A,C,D,F,G
762,22.051800,-8.791119,-4.684851,17.148527,-8.562475,18.639032,-19.837810,2.086698,-9.648454,-3.586416,0.889581,-12.162694,16.977134,-8.657070,7.029455,9.793617,-9.272278,15.152080,37.924774,-7.000450,A,F,C,C,C,D,D,G
764,23.028047,-9.274089,-5.911461,17.317579,-7.460394,18.692095,-18.879347,4.100939,-8.682088,-3.351226,-0.500944,-13.853765,17.676723,-10.151274,7.526190,9.765179,-9.231879,15.191954,-19.744374,-7.896135,B,D,C,B,A,D,A,F
766,18.804189,-9.006030,-5.268866,17.521695,-7.602302,18.708606,-20.145692,2.972589,-9.150574,-3.064419,-0.371511,-10.099345,15.563560,-9.418118,7.785734,9.730846,-9.219309,15.240580,-34.192618,-5.966248,B,B,A,A,C,B,A,G
768,14.630970,-9.238694,-6.606229,17.269507,-8.025527,18.557927,-19.749440,5.126182,-2.245723,-4.690607,0.215270,-16.673003,12.814608,-19.652264,15.915831,9.773265,-9.334038,14.964907,-9.515156,-6.733102,A,D,B,A,B,D,G,G
770,15.038311,-8.843598,-3.730977,17.274564,-8.220301,18.654423,-19.934183,0.679931,-2.118499,-3.626023,0.420964,-17.071234,13.436513,-19.790123,16.153614,9.772415,-9.260559,15.145366,17.099707,-7.975038,C,E,A,C,C,E,A,G
772,16.360449,-8.935872,-5.199247,17.412515,-7.803013,18.717970,-18.854864,3.120680,-0.555268,-3.071985,-0.124781,-20.133075,14.384087,-22.162949,17.773790,9.749210,-9.212181,15.239297,-0.249694,-10.205047,B,E,C,A,C,D,A,G
774,22.825820,-11.094632,-8.874099,16.694908,-8.502070,18.512191,-19.874618,8.555582,-9.617976,-4.822199,1.129886,-12.817293,17.000858,-9.326370,7.088102,9.869933,-9.368869,14.942604,-29.126267,-12.182489,A,C,C,B,B,D,F,F
776,13.895770,-11.157119,-3.363671,17.389530,-7.947532,18.691927,-20.007324,0.016161,-1.899974,-3.193686,0.431891,-16.854038,13.057794,-20.462427,16.461866,9.753076,-9.232006,15.218664,5.909876,-6.502013,A,G,C,A,A,D,D,G
778,23.669819,-11.321769,-5.194993,17.086957,-8.054096,18.637351,-18.362793,3.056774,-8.974368,-3.688726,0.592545,-14.087223,17.827527,-10.271470,6.889004,9.803975,-9.273558,15.134736,27.200266,-8.895770,C,G,C,A,E,E,A,F
780,23.469284,-9.252766,-6.809432,17.023644,-7.996248,18.586262,-18.306489,5.473989,-8.913546,-4.320303,0.178595,-13.983437,17.559944,-9.815134,6.931503,9.814626,-9.312460,15.027672,-20.950140,-6.816933,A,B,B,B,A,D,A,G
782,16.009553,-8.480153,-2.351470,16.998776,-8.575759,18.691297,-19.905613,-1.498804,-2.269623,-3.110233,0.870084,-17.337794,14.086982,-19.514838,15.949588,9.818809,-9.232486,15.232813,20.047267,-8.667375,B,F,C,B,E,D,D,G
784,14.914921,-11.282943,-6.388104,17.235035,-8.159010,18.663140,-20.502370,4.737620,-1.485378,-3.403764,0.717207,-17.988051,13.415624,-21.100221,17.195819,9.779064,-9.253923,15.183047,13.770494,-9.639778,A,E,A,A,C,D,A,G
786,23.281572,-9.099527,-5.084794,17.308425,-8.126884,18.628112,-18.231753,2.801539,-8.958844,-3.883310,0.330268,-13.790751,17.591225,-9.714251,6.836721,9.766719,-9.280593,15.101748,6.949006,-10.321158,A,A,B,A,C,D,F,F
788,24.511100,-8.766267,-3.468397,17.026180,-8.439517,18.672762,-18.261288,0.307871,-9.169720,-3.303225,0.714022,-14.589073,18.390448,-9.334590,6.599210,9.814199,-9.246597,15.200092,-18.986993,-11.962697,A,B,B,B,C,D,A,G
790,13.791611,-9.069942,-2.567991,17.516460,-7.699649,18.673425,-19.945256,-1.143233,-1.981929,-3.609379,-0.236924,-16.676449,12.915586,-20.026146,16.332001,9.731726,-9.246093,15.148187,-32.066373,-11.101301,B,F,A,C,D,D,D,G
792,16.501834,-11.251734,-5.449330,17.084482,-7.910068,18.575597,-18.045630,3.503511,-1.866169,-4.477432,0.402985,-18.202356,13.846895,-20.528420,15.799862,9.804391,-9.320581,15.001038,25.723138,-12.683798,D,E,C,A,D,A,A,G
794,15.343144,-11.084500,-3.473899,17.146701,-8.059940,18.632565,-19.940116,0.290477,-2.194845,-3.838271,0.558747,-17.108099,13.490709,-20.011840,16.058981,9.793924,-9.277202,15.109384,9.972864,-9.258546,B,A,A,A,B,C,G,G
796,16.524428,-9.075703,-2.797629,17.350208,-8.048772,18.615143,-17.879864,-0.628181,-2.111576,-4.163513,0.221816,-17.845329,14.015273,-19.831672,15.426873,9.759691,-9.290468,15.054249,-19.584097,-12.787984,B,C,C,A,B,D,B,G
798,13.934790,-10.854362,-1.354207,17.266158,-8.066188,18.751141,-19.950165,-2.985482,-1.966405,-2.512522,0.527393,-16.768588,13.382493,-20.313972,16.353785,9.773829,-9.186930,15.334155,-19.284537,-9.559193,B,B,C,B,C,D,E,G
800,15.419787,-9.482909,-6.628442,17.504333,-7.445834,18.596262,-18.439191,5.274439,-1.158264,-4.498246,-0.480571,-18.740486,13.374377,-21.322508,16.851207,9.733766,-9.304845,14.997510,-39.263467,-11.530346,A,C,C,B,D,B,B,F
802,15.407517,-10.791999,-3.950160,17.190825,-8.381454,18.604455,-19.553134,0.973127,-2.572030,-4.042106,0.924164,-16.568589,13.402391,-19.402216,15.419970,9.786501,-9.298607,15.074829,-20.151912,-9.558223,C,G,C,A,A,B,A,F
804,22.997382,-11.154656,-3.158482,17.356240,-8.109302,18.630284,-18.024997,-0.117780,-9.013085,-3.831056,0.632749,-13.512589,17.447511,-10.170709,6.661698,9.758676,-9.278939,15.110607,-25.141551,-8.341233,A,A,C,A,D,D,G,F
806,15.120592,-8.951748,-5.300592,17.220519,-8.243485,18.605830,-19.842596,3.036904,-2.210226,-4.120813,0.467707,-16.972065,13.262927,-19.666332,15.999134,9.781506,-9.297559,15.061487,-25.114426,-12.195013,A,E,A,A,D,C,A,F
808,20.642654,-9.226732,-3.632938,17.237601,-7.910541,18.603825,-19.594084,0.425620,-9.404124,-4.201165,0.061671,-11.268701,16.113294,-9.111037,7.134929,9.778633,-9.299086,15.047867,47.682611,-6.267090,C,B,A,C,C,E,A,G
810,15.927126,-11.512889,-6.508950,17.127842,-7.664019,18.537492,-18.015081,5.076741,-1.873432,-4.946688,0.160368,-17.894787,13.404807,-20.561652,15.780991,9.797096,-9.349600,14.921507,37.442475,-12.730777,B,C,A,A,B,D,B,D
812,17.411100,-8.932869,-5.693824,17.168351,-8.332210,18.619873,-18.274310,3.917386,-1.546385,-3.963943,0.587062,-19.160210,14.488672,-20.664814,16.290468,9.790282,-9.286866,15.088079,-32.668393,-6.653665,D,C,C,B,E,D,B,G
814,22.212963,-9.100128,-7.318493,16.840134,-8.376062,18.558817,-19.863149,6.165014,-9.567048,-4.452055,0.670188,-12.367337,16.803663,-8.848841,7.135858,9.845499,-9.333360,15.005340,-16.042084,-7.456938,B,A,A,B,A,D,G,F
816,20.774895,-11.739968,-4.299852,17.526642,-7.686684,18.699808,-20.506908,1.493316,-9.326718,-3.123377,0.230681,-11.448490,16.534935,-9.915049,7.846386,9.730014,-9.226007,15.230584,-17.964772,-10.615237,A,F,B,A,B,D,D,G
818,14.602582,-11.320320,-4.140170,17.384364,-7.915331,18.633416,-20.006418,1.323021,-2.019950,-3.873135,0.421766,-17.007418,13.124463,-20.311398,16.308860,9.753945,-9.276555,15.103473,-43.823472,-5.757371,B,D,A,B,A,D,A,G
820,20.613544,-9.327003,-6.832528,17.351531,-7.232917,18.663121,-18.458401,5.480193,-8.489845,-3.666267,-0.760805,-12.172841,16.310916,-10.439265,7.524122,9.759468,-9.253937,15.138543,-27.908906,-12.075845,D,B,C,B,C,A,G,A
822,17.581019,-9.106193,-7.386851,16.811711,-8.309165,18.542234,-18.066886,6.539462,-1.899224,-4.747964,0.579074,-18.725902,14.287821,-20.155613,15.762960,9.850281,-9.345988,14.955186,-2.028333,-5.279141,A,B,C,A,C,A,G,F
824,20.904860,-9.119491,-3.803155,17.235893,-7.910577,18.632817,-19.852026,0.599907,-9.417361,-3.875573,0.045003,-11.462991,16.352417,-9.065725,7.292670,9.778920,-9.277011,15.103060,67.584036,-8.600574,C,A,B,C,E,E,G,F
826,15.509662,-9.124234,-4.597188,17.561923,-7.467666,18.711955,-18.785907,2.136956,-0.605280,-3.262407,-0.518878,-19.644766,13.938362,-22.110553,17.686021,9.724080,-9.216760,15.207012,9.457834,-8.744472,A,A,B,B,E,D,G,G
828,17.227619,-8.528780,-1.497228,17.213858,-8.176649,18.766036,-18.542119,-2.655004,-1.121357,-2.479549,0.317816,-19.703577,15.037153,-21.257029,16.932204,9.782627,-9.175593,15.339746,18.003155,-8.876149,D,B,A,B,E,C,A,F
830,15.815991,-10.727842,-5.443067,16.847672,-8.505166,18.617417,-19.858448,3.363188,-2.274089,-3.785098,1.078180,-17.230405,13.664120,-19.835029,15.924374,9.844231,-9.288737,15.118398,28.299476,-9.821037,D,F,B,B,E,A,D,G
832,15.093942,-8.741433,-3.754212,17.227973,-8.329823,18.661814,-19.899306,0.720408,-2.148669,-3.499291,0.558105,-17.052864,13.497988,-19.731179,16.100829,9.780252,-9.254933,15.166851,-30.856214,-8.334985,C,F,C,C,E,E,D,G
834,14.435744,-11.594358,-3.612974,17.518588,-7.627784,18.621748,-20.064594,0.493128,-1.977711,-4.130673,0.134879,-16.991540,12.988742,-20.420939,16.386732,9.731368,-9.285439,15.059816,27.490878,-9.840693,B,E,B,B,C,D,A,F
836,23.219162,-8.841009,-5.074081,17.022351,-8.231588,18.658342,-18.189865,2.793331,-9.001876,-3.457164,0.436082,-13.700384,17.658937,-9.592639,6.762371,9.814843,-9.257576,15.173993,7.127907,-9.486370,D,F,C,B,D,A,D,G
838,14.093795,-8.811781,-4.988669,17.229559,-7.720387,18.734016,-20.862714,2.505544,-1.016804,-2.864412,-0.252118,-18.336908,13.367315,-21.449629,17.943283,9.779985,-9.199966,15.274491,-20.770072,-7.734185,A,F,C,A,D,C,E,G
840,23.313282,-11.061340,-4.681020,17.037024,-8.210368,18.579646,-17.930314,2.258042,-9.058447,-4.299455,0.745359,-13.722833,17.456356,-10.081856,6.557363,9.812375,-9.317498,15.031206,21.747709,-10.767906,C,C,C,C,D,E,B,E
842,21.954694,-9.046820,-3.749922,17.122539,-8.185268,18.628273,-19.899606,0.620994,-9.565907,-3.852363,0.401693,-12.160350,16.889069,-8.837171,7.162168,9.797989,-9.280470,15.106995,-7.857242,-7.223215,D,F,B,B,E,A,D,G
844,18.241903,-8.802584,-5.156734,17.061927,-8.626559,18.604944,-18.123784,3.008269,-1.871877,-4.051262,0.981354,-19.126870,14.860381,-20.156739,15.816456,9.808185,-9.298234,15.073277,-14.896831,-8.394856,A,F,A,A,B,D,D,F
846,22.811024,-9.186272,-3.737982,17.249825,-7.862128,18.635346,-18.175296,0.698343,-8.909485,-3.898873,-0.008017,-13.462687,17.365584,-9.805229,6.866312,9.776576,-9.275085,15.099110,-20.507328,-5.630722,A,E,A,B,A,A,A,G
848,21.721819,-11.434444,-0.983022,17.612996,-7.619536,18.672418,-18.035569,-3.572165,-8.843365,-3.565281,0.094042,-12.668113,16.922592,-10.483630,6.873757,9.715490,-9.246859,15.155664,49.191457,-7.068685,B,F,A,A,C,E,C,D
850,21.572571,-10.996849,-2.071684,17.353074,-8.232325,18.689815,-19.922084,-2.041604,-9.587001,-3.118477,0.762913,-11.833848,16.909365,-9.339385,7.154661,9.759208,-9.233614,15.231415,-27.102736,-5.693988,A,A,C,B,D,A,G,G
852,24.123859,-11.087298,-4.976280,16.997948,-8.281242,18.607281,-18.184853,2.735931,-9.093609,-3.968131,0.840630,-14.343477,17.974488,-10.040788,6.649069,9.818949,-9.296455,15.087369,15.393296,-10.685177,B,C,B,A,E,A,D,E
